"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBA11",9.00214306799918e-09,0.328431340473941,0.809,0.613,0.000301913874214557,"stromal_3_patient3","UBA1"
"TPRA11",9.11809700028886e-09,0.257547209784497,0.528,0.322,0.000305802737195688,"stromal_3_patient3","TPRA1"
"HKR1",9.28664429594095e-09,0.251017709638663,0.275,0.13,0.000311455476397268,"stromal_3_patient3","HKR1"
"TMEM131",9.32286840296604e-09,0.255042401258431,0.399,0.218,0.000312670360498675,"stromal_3_patient3","TMEM131"
"EHMT2",9.35300386624278e-09,0.264515906668505,0.438,0.248,0.00031368104366605,"stromal_3_patient3","EHMT2"
"MCRIP11",9.79549712085899e-09,0.330297248229333,0.64,0.444,0.000328521382439369,"stromal_3_patient3","MCRIP1"
"CAVIN11",9.86339348960699e-09,0.271092716835862,0.843,0.631,0.000330798490854439,"stromal_3_patient3","CAVIN1"
"ILF31",1.00494750411358e-08,0.316793786691955,0.736,0.533,0.000337039293929611,"stromal_3_patient3","ILF3"
"IDH3G",1.07494669870886e-08,0.259772984617448,0.511,0.312,0.000360515623812978,"stromal_3_patient3","IDH3G"
"NEK9",1.12756479740748e-08,0.275933070407134,0.41,0.234,0.000378162681754519,"stromal_3_patient3","NEK9"
"HNRNPA0",1.14180351369654e-08,0.304630371460167,0.725,0.527,0.000382938062423546,"stromal_3_patient3","HNRNPA0"
"B4GALT21",1.17308844545528e-08,0.290851327230456,0.393,0.217,0.000393430402836792,"stromal_3_patient3","B4GALT2"
"PHF10",1.17447782906179e-08,0.26183788856789,0.444,0.261,0.000393896374310744,"stromal_3_patient3","PHF10"
"RNF1671",1.20279393483141e-08,0.279774033518471,0.556,0.36,0.000403393029863757,"stromal_3_patient3","RNF167"
"PPP2R1A",1.23797499439277e-08,0.344281475908321,0.865,0.662,0.000415192053619448,"stromal_3_patient3","PPP2R1A"
"MRPL12",1.28448925736552e-08,0.258068280916655,0.522,0.323,0.000430792007135248,"stromal_3_patient3","MRPL12"
"WSB1",1.31357951825419e-08,0.34703869770872,0.742,0.552,0.00044054829883209,"stromal_3_patient3","WSB1"
