"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANXA2",5.9944557115752e-39,0.588793534943052,0.842,0.803,2.01042055654809e-34,"group2","ANXA2"
"TNS1",1.60145523436756e-38,0.514274411209268,0.534,0.406,5.37096056502191e-34,"group2","TNS1"
"NPL",2.8483846019951e-38,0.502575741578469,0.329,0.197,9.55291227817117e-34,"group2","NPL"
"LCP1",1.25659358867721e-37,0.608332812433604,0.445,0.336,4.21436357770563e-33,"group2","LCP1"
"ALDH2",5.43963532309695e-37,0.524462855883918,0.447,0.331,1.82434489466025e-32,"group2","ALDH2"
"ISG15",1.16561862026066e-36,0.649454790959198,0.573,0.474,3.9092517286302e-32,"group2","ISG15"
"HBA2",2.57710551903924e-36,1.78397959606825,0.264,0.143,8.6430964897538e-32,"group2","HBA2"
"GSN",4.3993304203033e-35,0.514109117416586,0.827,0.864,1.47544743636132e-30,"group2","GSN"
"ARHGDIB",4.93343683909009e-35,0.520294258344212,0.546,0.459,1.65457604709404e-30,"group2","ARHGDIB"
"SDCBP",2.23183645018843e-34,0.544687016390262,0.634,0.598,7.48513308664195e-30,"group2","SDCBP"
"NPC2",1.48283538945739e-33,0.596624512018652,0.799,0.844,4.9731333291622e-29,"group2","NPC2"
"H2AFY",3.14690359461627e-33,0.54402649109324,0.486,0.396,1.05540852756241e-28,"group2","H2AFY"
"SOD3",7.24621696672249e-33,0.599059823885356,0.279,0.164,2.43023624629939e-28,"group2","SOD3"
"PKM",2.10169082658473e-32,0.607968344417415,0.816,0.859,7.04865069419987e-28,"group2","PKM"
"C1QC",8.51379295654118e-32,0.532695825356357,0.6,0.499,2.85535588176478e-27,"group2","C1QC"
"MYLK",3.94787529676631e-31,0.893920525244816,0.4,0.297,1.32403841702949e-26,"group2","MYLK"
"LILRB4",1.1572351155748e-30,0.621968534247783,0.359,0.261,3.88113513061477e-26,"group2","LILRB4"
"HLA-DMA",1.72961113514696e-30,0.533854263459117,0.57,0.507,5.80076982505588e-26,"group2","HLA-DMA"
"LDHA",2.25458875307328e-30,0.563494321715471,0.639,0.611,7.56143976005717e-26,"group2","LDHA"
"SLC16A3",2.0792038028213e-29,0.522591764536451,0.339,0.238,6.97323371390206e-25,"group2","SLC16A3"
"IL4I1",1.93902265295929e-27,0.524412410808374,0.299,0.198,6.50309417349485e-23,"group2","IL4I1"
"IFI27",3.18562383211777e-27,0.650354139266561,0.786,0.833,1.06839452081566e-22,"group2","IFI27"
"PLD3",4.2779411752586e-27,0.716985258436174,0.811,0.849,1.43473591135823e-22,"group2","PLD3"
"JUNB",4.71197722479366e-26,0.611724341162294,0.749,0.708,1.5803029216513e-21,"group2","JUNB"
"CTSA",5.24159370257991e-24,0.530314844382451,0.638,0.653,1.75792569597125e-19,"group2","CTSA"
"KIAA0930",1.09685667545895e-23,0.64637736932223,0.457,0.411,3.67863791815421e-19,"group2","KIAA0930"
"CARMN",1.52921956215065e-23,0.604240545548969,0.322,0.229,5.12869656754086e-19,"group2","CARMN"
"CTSH",2.78727244881887e-21,0.564697171626071,0.559,0.545,9.34795433884871e-17,"group2","CTSH"
"FHL1",2.36722279578984e-20,0.650707584856758,0.27,0.194,7.93919181251996e-16,"group2","FHL1"
"MEST",8.74931682252237e-19,0.543926549417762,0.273,0.191,2.93434587593755e-14,"group2","MEST"
"LMOD1",1.2148475060566e-15,0.511522917052363,0.288,0.215,4.07435556581264e-11,"group2","LMOD1"
"MRGPRF",1.23803470659446e-15,0.512496287184428,0.288,0.222,4.1521207989765e-11,"group2","MRGPRF"
"ADIRF",4.38767429174913e-15,1.02828000657673,0.509,0.502,1.47153820396682e-10,"group2","ADIRF"
"FOS",1.08731742974165e-11,0.808334113098828,0.669,0.632,3.64664519586756e-07,"group2","FOS"
"KLF2",1.11801391749672e-10,0.570577604211293,0.424,0.378,3.74959507650048e-06,"group2","KLF2"
"DUSP1",1.01843324042487e-08,0.619987641004673,0.574,0.553,0.000341562140173692,"group2","DUSP1"
"IGLC3",3.96143159310165e-08,1.12990002334739,0.623,0.636,0.00132858492769443,"group2","IGLC3"
"MMP9",3.48914478840024e-07,0.782984859959034,0.386,0.385,0.0117018937913367,"group2","MMP9"
