"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ERBB3",2.20824700070355e-10,0.255432027259643,0.17,0.262,7.40601879095957e-06,"0","ERBB3"
"PPA1",2.77474113463107e-10,0.283874874187336,0.373,0.573,9.30592681732568e-06,"0","PPA1"
"CLDN1",3.94409774254665e-10,0.344447265730216,0.218,0.328,1.3227715008953e-05,"0","CLDN1"
"MUC16",1.82161463309684e-09,0.39317278388019,0.492,0.534,6.10933115648019e-05,"0","MUC16"
"C4orf48",4.62255725439716e-09,0.267605929590172,0.444,0.674,0.000155031325197972,"0","C4orf48"
"PPP1R14B",7.65635453552e-09,0.283992587245345,0.421,0.641,0.00025677881841227,"0","PPP1R14B"
"SCARA3",5.7441200294079e-08,0.305912584205175,0.319,0.463,0.00192646297546282,"0","SCARA3"
"SLC34A2",6.23305054129495e-08,0.261288132555773,0.295,0.416,0.0020904404905395,"0","SLC34A2"
"TGM2",1.23273552517884e-07,0.273783376888471,0.392,0.552,0.0041343484043448,"0","TGM2"
"S100A1",1.25175931719805e-07,0.261042315456933,0.221,0.317,0.00419815039801883,"0","S100A1"
"ID4",1.37269199420527e-07,0.277835474389055,0.281,0.404,0.00460373441016564,"0","ID4"
"KRT17",2.14742715307942e-07,0.343116508533552,0.179,0.258,0.00720204118599775,"0","KRT17"
"MT-ND4L",2.71251132614341e-07,0.489427168564094,0.548,0.696,0.00909722048561978,"0","MT-ND4L"
"MUC1",4.84949633158276e-07,0.539724446771307,0.529,0.607,0.0162642407968622,"0","MUC1"
"C9orf16",6.62189097364865e-07,0.282800276517152,0.457,0.681,0.0222084979474228,"0","C9orf16"
"KLK10",7.32107427862984e-07,0.289768479233179,0.242,0.342,0.0245534189156688,"0","KLK10"
"KLK6",8.38672498371696e-06,0.582853298678982,0.359,0.393,0.281273982503899,"0","KLK6"
"PKM",9.20317165895786e-06,0.31525961399686,0.716,0.871,0.308655971098129,"0","PKM"
"HBA2",1.20140473776617e-05,0.459491129607672,0.274,0.273,0.40292712095202,"0","HBA2"
"NPM1",2.41661895910514e-05,0.257183070854226,0.66,0.856,0.810485666504682,"0","NPM1"
"COMP",2.94386116080246e-05,0.278905075412937,0.228,0.308,0.987312156109929,"0","COMP"
"TRAM1",3.4209243493798e-05,0.301078111049236,0.451,0.677,1,"0","TRAM1"
"SCX",9.33288714757361e-05,0.390344253121059,0.192,0.263,1,"0","SCX"
"PERP",0.000141293594352955,0.286887302734669,0.358,0.504,1,"0","PERP"
"DEFB1",0.000298058287396949,0.27041028746967,0.21,0.279,1,"0","DEFB1"
"KRT19",0.000780748807623216,0.442823347798727,0.553,0.671,1,"0","KRT19"
"KCNK15",0.00233285147951904,0.349881755320978,0.243,0.325,1,"0","KCNK15"
"LYPD6B",0.00292273843323391,0.330791897718506,0.233,0.31,1,"0","LYPD6B"
"LYPD1",0.00377552514983958,0.487262788364728,0.394,0.462,1,"0","LYPD1"
"ITGA3",0.00452269759601523,0.459998763533974,0.347,0.482,1,"0","ITGA3"
"MMP7",0.00611374652185927,0.623382751397584,0.292,0.317,1,"0","MMP7"
"SPOCK2",0.00735125325913076,0.523997415891589,0.379,0.447,1,"0","SPOCK2"
"APOC1",0,3.97561831515046,0.902,0.409,0,"1","APOC1"
"LYZ",0,3.54859511938561,0.941,0.365,0,"1","LYZ"
"APOE",0,3.53221951442041,0.97,0.705,0,"1","APOE"
"CHIT1",0,3.38163045392904,0.659,0.1,0,"1","CHIT1"
"FTL",0,3.16358671655308,1,0.984,0,"1","FTL"
"CTSD",0,2.99479817071928,0.989,0.874,0,"1","CTSD"
"SPP1",0,2.89559479618909,0.765,0.45,0,"1","SPP1"
"GPNMB",0,2.85084733945612,0.924,0.477,0,"1","GPNMB"
"TYROBP",0,2.60952069297981,0.921,0.392,0,"1","TYROBP"
"LAPTM5",0,2.56440709817986,0.917,0.42,0,"1","LAPTM5"
"PSAP",0,2.52748671610983,0.997,0.943,0,"1","PSAP"
"CTSS",0,2.49850695698898,0.869,0.302,0,"1","CTSS"
"CTSB",0,2.46859491283378,0.987,0.887,0,"1","CTSB"
"ACP5",0,2.44344879972349,0.765,0.209,0,"1","ACP5"
"CD68",0,2.43639381509532,0.827,0.249,0,"1","CD68"
"CSTB",0,2.43430022407655,0.9,0.722,0,"1","CSTB"
"GM2A",0,2.39919947522858,0.831,0.332,0,"1","GM2A"
"MMP9",0,2.37133455708367,0.686,0.154,0,"1","MMP9"
"CD52",0,2.36187652798305,0.721,0.177,0,"1","CD52"
"HLA-DRB1",0,2.31996936216608,0.972,0.655,0,"1","HLA-DRB1"
"GRN",0,2.31900560374258,0.959,0.744,0,"1","GRN"
"C1QB",0,2.27035467735123,0.917,0.418,0,"1","C1QB"
"LIPA",0,2.25077321684288,0.823,0.319,0,"1","LIPA"
"SCD",0,2.24331785363564,0.66,0.235,0,"1","SCD"
"HLA-DQB1",0,2.11284406979285,0.901,0.392,0,"1","HLA-DQB1"
"FCER1G",0,2.09087108719676,0.827,0.266,0,"1","FCER1G"
"ITGB2",0,2.08034103562488,0.838,0.325,0,"1","ITGB2"
"HLA-DRA",0,2.06333597589266,0.989,0.809,0,"1","HLA-DRA"
"NUPR1",0,2.0587731871938,0.866,0.632,0,"1","NUPR1"
"CCL18",0,2.04057176547576,0.64,0.11,0,"1","CCL18"
"CYP27A1",0,1.94701653762862,0.733,0.277,0,"1","CYP27A1"
"B2M",0,1.90073495792668,0.999,0.977,0,"1","B2M"
"CAPG",0,1.89436842054231,0.841,0.502,0,"1","CAPG"
"HLA-A",0,1.88434131196866,0.995,0.904,0,"1","HLA-A"
"HLA-DPB1",0,1.88248704876416,0.93,0.51,0,"1","HLA-DPB1"
"FBP1",0,1.8578917299212,0.538,0.11,0,"1","FBP1"
"CFD",0,1.83265160506752,0.724,0.23,0,"1","CFD"
"PLD3",0,1.83074976301038,0.932,0.653,0,"1","PLD3"
"HLA-DPA1",0,1.80356103248513,0.955,0.625,0,"1","HLA-DPA1"
"FTH1",0,1.78109128300669,0.999,0.994,0,"1","FTH1"
"LGMN",0,1.7538124454398,0.847,0.417,0,"1","LGMN"
"SRGN",0,1.75230816387081,0.803,0.296,0,"1","SRGN"
"PLIN2",0,1.74749199540876,0.595,0.188,0,"1","PLIN2"
"CTSL",0,1.74699805918917,0.836,0.47,0,"1","CTSL"
"C1QA",0,1.74426228320519,0.93,0.49,0,"1","C1QA"
"IGHA1",0,1.69156049218621,0.867,0.348,0,"1","IGHA1"
"HLA-DMB",0,1.68233067475427,0.787,0.289,0,"1","HLA-DMB"
"CD74",0,1.68196661470274,0.999,0.962,0,"1","CD74"
"IFI6",0,1.646666761358,0.884,0.59,0,"1","IFI6"
"HLA-DQA1",0,1.64271278578035,0.786,0.268,0,"1","HLA-DQA1"
"C1QC",0,1.61462540281019,0.829,0.316,0,"1","C1QC"
"HLA-B",0,1.59150363455038,0.997,0.923,0,"1","HLA-B"
"MSR1",0,1.57869543979525,0.62,0.123,0,"1","MSR1"
"CTSZ",0,1.57607337853743,0.782,0.33,0,"1","CTSZ"
"SLC15A3",0,1.56366904306336,0.709,0.223,0,"1","SLC15A3"
"FCGR3A",0,1.55351064841792,0.728,0.204,0,"1","FCGR3A"
"HEXB",0,1.55037200208719,0.722,0.338,0,"1","HEXB"
"SH3BGRL3",0,1.54916013978323,0.899,0.645,0,"1","SH3BGRL3"
"TREM2",0,1.54294638185364,0.604,0.11,0,"1","TREM2"
"PLAUR",0,1.5401058256434,0.59,0.159,0,"1","PLAUR"
"CTSK",0,1.53437833025825,0.73,0.327,0,"1","CTSK"
"GCHFR",0,1.52296101495696,0.553,0.254,0,"1","GCHFR"
"ASAH1",0,1.5208450056018,0.851,0.553,0,"1","ASAH1"
"ITGAX",0,1.51940990648469,0.634,0.103,0,"1","ITGAX"
"LILRB4",0,1.50289733749694,0.62,0.099,0,"1","LILRB4"
"TYMP",0,1.46448360173872,0.816,0.377,0,"1","TYMP"
"LSP1",0,1.4287718681874,0.703,0.236,0,"1","LSP1"
"CD53",0,1.41713280429761,0.643,0.142,0,"1","CD53"
"IGKC",0,1.39270022425433,0.956,0.588,0,"1","IGKC"
"KIAA0930",0,1.35506550097749,0.663,0.247,0,"1","KIAA0930"
"FCGR2B",0,1.35450374408199,0.585,0.095,0,"1","FCGR2B"
"HLA-C",0,1.35218086490877,0.978,0.865,0,"1","HLA-C"
"CTSH",0,1.34702541239505,0.773,0.411,0,"1","CTSH"
"SPI1",0,1.33682193457155,0.626,0.158,0,"1","SPI1"
"CD14",0,1.33229422583254,0.823,0.392,0,"1","CD14"
"ADA2",0,1.32826849966192,0.722,0.28,0,"1","ADA2"
"LGALS3",0,1.32721783640735,0.881,0.712,0,"1","LGALS3"
"FN1",0,1.32656412901653,0.868,0.568,0,"1","FN1"
"CES1",0,1.32070913282478,0.52,0.154,0,"1","CES1"
"CD163",0,1.31919995232763,0.631,0.144,0,"1","CD163"
"IGHG1",0,1.29423348177113,0.895,0.414,0,"1","IGHG1"
"LCP1",0,1.28239609986252,0.681,0.214,0,"1","LCP1"
"HS3ST2",0,1.27097365184399,0.518,0.045,0,"1","HS3ST2"
"BCL2A1",0,1.27092712885377,0.444,0.042,0,"1","BCL2A1"
"S100A9",0,1.26816710494207,0.673,0.295,0,"1","S100A9"
"IGLC2",0,1.25778066482057,0.904,0.393,0,"1","IGLC2"
"RNASE1",0,1.25217879946649,0.9,0.677,0,"1","RNASE1"
"JCHAIN",0,1.24433247566048,0.732,0.222,0,"1","JCHAIN"
"CXCL16",0,1.22945944752499,0.672,0.279,0,"1","CXCL16"
"AIF1",0,1.20999282419082,0.672,0.202,0,"1","AIF1"
"LAIR1",0,1.20508231684062,0.566,0.112,0,"1","LAIR1"
"VSIG4",0,1.20401570705233,0.48,0.077,0,"1","VSIG4"
"HLA-DMA",0,1.20182942312682,0.786,0.417,0,"1","HLA-DMA"
"C15orf48",0,1.18578048764486,0.467,0.088,0,"1","C15orf48"
"SGK1",0,1.17325512548024,0.658,0.293,0,"1","SGK1"
"CD44",0,1.1695299448346,0.72,0.333,0,"1","CD44"
"IL1RN",0,1.16331119689027,0.388,0.075,0,"1","IL1RN"
"TPP1",0,1.16244040869894,0.748,0.408,0,"1","TPP1"
"APOC2",0,1.1597553201224,0.399,0.019,0,"1","APOC2"
"SIGLEC1",0,1.15218313165096,0.562,0.121,0,"1","SIGLEC1"
"CYBB",0,1.14491575485851,0.601,0.135,0,"1","CYBB"
"CCL3",0,1.13723980604265,0.507,0.091,0,"1","CCL3"
"NPL",0,1.13426181011365,0.535,0.083,0,"1","NPL"
"BRI3",0,1.13115822844095,0.859,0.678,0,"1","BRI3"
