1.1,1.2,2.1,2.2,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2
CEBPB,HTRA1,CYR61,JUNB,PODXL,KIAA1671,GSTM3,CDKN2A,HDGF,HMGA1,CLDN10,MT-ND3,HTRA1,RPL18,PCDH7
KRT7,TGM2,PPIA,VAMP5,TM9SF4,EPCAM,RPL37,SNRPD3,EGFL7,RASGEF1B,SPARCL1,SPARCL1,TPD52L1,GAPDH,CLDN4
KIF9,MT-ND5,NFKBIA,ESAM,TRAPPC10,SLC25A37,TUBB4B,MAD2L2,FABP4,IL1RAP,PDCD4,MT-ATP6,TPM2,RPL30,S100A9
PPP1CB,CCDC80,MAFF,GADD45B,TM4SF18,ZNF322,RPS29,SSR4,ZFP36L1,DCXR,TMSB10,THBD,ANXA3,RPL39,TRIM29
CKS2,PLA2G2A,GADD45A,TMSB10,HLX,IVNS1ABP,HSPA1A,S100A2,LYVE1,IFT57,A2M,SERTAD1,DCN,IFI27,PIGR
CDC42EP4,MT-CO2,RAN,MMRN2,PIBF1,ATG2B,KRT5,TSPO,TMBIM4,B4GALT1,TIE1,ICAM1,CRYAB,RPL37A,UCP2
LCN2,CLDN15,CYSTM1,GIMAP7,FSTL1,LPL,JPT1,KRT14,RCN1,WFDC2,FAM107A,TSC22D1,TMEM176B,RPS16,CXCL17
HSPA8,NR4A1,TIMP1,CD93,PTPRB,WFDC2,RPS27,SERF2,NEAT1,SOWAHC,CD9,HLA-DPA1,LY6E,RPS20,AQP5
CMTM7,EDN1,TUBB4B,FOS,LRRC32,GDF15,RPL23,SDC1,KLF2,ZC3H12A,CDH13,BTG1,SLPI,FTL,SFN
FTH1,SERPINH1,LMNA,RNASE1,NUAK1,RHOBTB2,CTSC,PRELID1,FAM167B,DNAJA2,IFI27,HLA-DRB1,BICDL1,RACK1,HOXB-AS3
ZFAND2A,TFPI2,LCN2,HSPA1B,EMCN,SMAP2,CHCHD10,CLTB,IFRD1,MAOB,CAV2,CDKN1A,TPM1,HSPB1,CRB3
TFG,THBD,DYNLL1,IL33,SRGAP2C,PON3,PLAUR,CXCL14,WSB1,VMP1,IFI6,GSN,C19orf33,TM4SF1,HOXB8
RAB5IF,PSMB9,MARCKSL1,ID2,HSPB6,PCSK1N,RPL34,ECM1,RPL34,COX8A,FILIP1L,HES1,RAB25,RPS29,NDUFAF5
OSR2,CEBPD,CYCS,FN1,FAM118A,MDM2,ACADVL,GSTP1,LMCD1,NFKB2,BGN,S100A10,GPAA1,S100A6,IL4I1
